recipient,country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
China,EU,7,2,15,27,15,17,17,53,55,95,76,104,101,129,129,153,159,105,130,202,200,217,242,230,330,304,235,240,244,212,236,251,266,261,253,225
China,Others,0,0,0,0,59,98,0,0,16,15,139,288,46,46,74,30,95,64,79,121,122,134,123,68,98,147,193,129,119,93,65,65,697,321,217,165
China,Russia,0,0,0,0,0,0,0,0,0,0,0,0,1023,1011,72,498,1241,732,174,1462,2231,2484,2526,2076,2888,3107,2472,1324,1529,1102,744,811,741,870,714,824
Iran,EU,44,350,0,0,145,92,0,0,15,15,15,15,0,8,8,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,Others,234,136,349,291,153,429,287,294,279,117,,912,109,117,89,177,4,4,54,0,8,147,262,114,27,0,0,0,0,0,0,15,0,0,0,0
Iran,Russia,0,0,0,0,0,0,0,0,0,0,0,0,220,559,83,47,289,119,256,258,341,298,92,85,15,15,368,283,15,15,41,33,15,22,4,4
Iran,China,0,1,193,219,180,126,516,539,184,60,87,96,103,304,274,58,320,54,70,64,69,80,81,84,80,43,54,47,47,47,62,55,32,9,9,9
North Korea,Others,173,206,242,432,206,1011,873,625,581,436,193,53,0,0,0,7,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,Russia,0,0,0,0,0,0,0,0,0,0,0,0,126,38,30,87,78,9,9,9,18,28,9,8,8,5,15,5,5,4,1,0,0,0,0,0
North Korea,China,243,57,307,79,77,29,224,224,273,160,103,145,11,55,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myanmar,EU,18,0,36,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Myanmar,Others,23,0,3,0,0,0,8,0,0,0,49,47,48,0,0,0,0,0,0,25,14,12,15,25,0,0,14,9,69,21,20,9,0,0,0,19
Myanmar,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,34,0,0,0,87,134,0,120,137,151,127,14,14,38,377,149,60,34,6
Myanmar,China,0,0,0,0,0,0,0,0,0,34,217,182,14,323,93,176,118,197,156,116,3,50,9,57,74,23,10,2,10,17,5,277,329,178,267,288
Syria,EU,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,Others,1946,1338,1951,2277,1838,1600,1023,1357,1260,628,739,322,231,164,19,35,35,35,35,35,55,20,20,44,20,20,74,20,232,65,45,86,20,10,10,0
Syria,Russia,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,20,23,9,8,25,25,5,15,26,0,44,72,238,282,351,351,0,0
Syria,China,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,15,0,0,0,5,0